"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"124",-0.41809527458391,-0.284939728916352,-0.290546455350559,-0.290390568620609,0.04,0.42
"125",-0.410391579367265,-0.281067845068806,-0.286649025349793,-0.286487711616237,0.04,0.44
"126",-0.40228280963914,-0.277014110890219,-0.282538070943772,-0.282396546079489,0.04,0.46
"127",-0.393968902983389,-0.272741442057153,-0.278214983673321,-0.278069842429678,0.04,0.48
"128",-0.384975169825718,-0.268226984628331,-0.273641334508253,-0.273512593311452,0.04,0.5
"129",-0.375570013379648,-0.263453041465636,-0.268818291106047,-0.268692544227515,0.04,0.52
"130",-0.365886517871864,-0.258397449715097,-0.26371014439051,-0.263585178814558,0.04,0.54
"131",-0.355842336988878,-0.253048146540946,-0.258292773707738,-0.258183548426348,0.04,0.56
"132",-0.345311957767964,-0.247379389632824,-0.252549200739,-0.252446392305332,0.04,0.58
"133",-0.33405802621566,-0.241341189404078,-0.246444012484889,-0.246345307822293,0.04,0.6
"134",-0.32234904194281,-0.234914894843203,-0.239942830462626,-0.239849383472966,0.04,0.62
"135",-0.309936915322022,-0.228063767143024,-0.233009939837275,-0.23292274783498,0.04,0.64
"136",-0.296941853415552,-0.220752156300177,-0.225604886727912,-0.225524873270135,0.04,0.66
"137",-0.283285821373811,-0.21292483063201,-0.217682242397219,-0.217609758542294,0.04,0.68
"138",-0.268825073977949,-0.204536720031003,-0.209190832245292,-0.209126350072131,0.04,0.7
"139",-0.253652365104153,-0.195528041571945,-0.200073309819211,-0.200016948158545,0.04,0.72
"140",-0.237726325936045,-0.185847198190546,-0.190265771089351,-0.190217422748267,0.04,0.74
"141",-0.220927763558735,-0.175413496253769,-0.179700137855607,-0.179656502596531,0.04,0.76
"142",-0.203261665169813,-0.164158528583779,-0.168297053720411,-0.168260358421905,0.04,0.78
"143",-0.184709124251918,-0.15198956643786,-0.155969950372119,-0.155938560234898,0.04,0.8
"144",-0.165248746892437,-0.138826624265493,-0.14262601896848,-0.142601288345836,0.04,0.82
"145",-0.144921175000165,-0.124563134617235,-0.128164649867035,-0.12814464444614,0.04,0.84
"146",-0.123763637200879,-0.109098688091802,-0.112477526341481,-0.112462108870496,0.04,0.86
"147",-0.1019072353885,-0.0923208200223937,-0.0954538777701817,-0.0954426683796823,0.04,0.88
"148",-0.0795813490125221,-0.0741294794103193,-0.0769827896120858,-0.0769752312407472,0.04,0.9
"149",-0.0571459033972728,-0.0544233870453306,-0.0569596387253821,-0.056954975524649,0.04,0.92
"150",-0.0344640785315944,-0.0331208437179682,-0.0352946208168794,-0.0352922512011953,0.04,0.940000000000001
"151",-0.0105567211998572,-0.0101778126821586,-0.0119235809933789,-0.0119229594887473,0.04,0.960000000000001
"152",0.014913486317348,0.01438521282835,0.0131771444490287,0.0131766177377938,0.04,0.980000000000001
"153",0.0419844125985254,0.0400301808779696,0.0399751264113519,0.0399747831366857,0.04,1
"154",-0.401932186387122,-0.306967247115073,-0.312979530943647,-0.312747284736275,0.06,0
"155",-0.398943101605223,-0.305398058066443,-0.31135601348698,-0.311114532379964,0.06,0.02
"156",-0.396443803707297,-0.303736035100671,-0.309678055756498,-0.309421871454838,0.06,0.04
