"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"128",-0.380783033444041,-0.268421886826318,-0.273665330546405,-0.273416942830193,0.04,0.5
"129",-0.372276641758896,-0.263639942235815,-0.268841195062049,-0.268571675213319,0.04,0.52
"130",-0.362849223233191,-0.258531550437909,-0.263692144540385,-0.26347421948154,0.04,0.54
"131",-0.352378369125727,-0.253172096165199,-0.258282372951292,-0.258045406579038,0.04,0.56
"132",-0.342330055859749,-0.247505301212848,-0.252505167492377,-0.252305706715168,0.04,0.58
"133",-0.331197607950767,-0.24146292693427,-0.246392987059196,-0.246195828673982,0.04,0.6
"134",-0.319409515023934,-0.235023456545588,-0.239874409007706,-0.239681686447742,0.04,0.62
"135",-0.307260986770278,-0.228152138155071,-0.232914855644886,-0.232759827187588,0.04,0.64
"136",-0.294532457507202,-0.220801936668354,-0.225505902571605,-0.225354515506515,0.04,0.66
"137",-0.281201186411471,-0.212982029583096,-0.217572056081115,-0.21742816808773,0.04,0.68
"138",-0.266922016644141,-0.204586485321168,-0.209067940436965,-0.208934863489439,0.04,0.7
"139",-0.252043877842008,-0.195567111550492,-0.199939544941567,-0.199819827978077,0.04,0.72
"140",-0.236287209741221,-0.185857836431649,-0.190124797188854,-0.190020097151316,0.04,0.74
"141",-0.219661930178874,-0.175417129710346,-0.179553089420639,-0.179464139515124,0.04,0.76
"142",-0.202220259567281,-0.164165979332654,-0.168145336504405,-0.168072005633958,0.04,0.78
"143",-0.183847505456611,-0.151994566502657,-0.155815401361001,-0.155755762754062,0.04,0.8
"144",-0.164588540252224,-0.138826833526329,-0.142477790999453,-0.142425667825949,0.04,0.82
"145",-0.144409994620036,-0.124552282706761,-0.128020765772544,-0.127980213192295,0.04,0.84
"146",-0.123417093437448,-0.109088220719776,-0.112344042254819,-0.112313555008019,0.04,0.86
"147",-0.101687565680578,-0.0923156545252553,-0.0953342900015184,-0.0953117556973635,0.04,0.88
"148",-0.0794704890336597,-0.0741214958921399,-0.0768797937982115,-0.0768645436607411,0.04,0.9
"149",-0.0571114209749874,-0.0544165266917511,-0.0568769559251063,-0.056866976178698,0.04,0.92
"150",-0.0344557753411874,-0.0331180131373212,-0.0352327703292592,-0.035227967853354,0.04,0.940000000000001
"151",-0.0105544774453885,-0.0101757715578168,-0.0118835700362176,-0.0118822616665217,0.04,0.960000000000001
"152",0.0149143747477671,0.0143857432515397,0.013196543666499,0.0131954204965955,0.04,0.980000000000001
"153",0.0419843296073571,0.040018214660906,0.0399755038909323,0.0399748696765476,0.04,1
"154",-0.398564950783196,-0.307184809611826,-0.313338243832536,-0.31287616691165,0.06,0
"155",-0.393299060964111,-0.305687996119145,-0.311675499631605,-0.311235217933473,0.06,0.02
"156",-0.393361300978154,-0.304156358808966,-0.310019320314157,-0.309518401126222,0.06,0.04
"157",-0.389716405169443,-0.302443599262218,-0.30828692837761,-0.307722604826159,0.06,0.06
"158",-0.385925206070809,-0.300548541658383,-0.306475239116428,-0.305938337172111,0.06,0.08
"159",-0.384282724195879,-0.298523377377677,-0.304580801921427,-0.304105808149731,0.06,0.1
"160",-0.379139774328883,-0.296798194715928,-0.302599741576555,-0.302179695455006,0.06,0.12
"161",-0.377522259011427,-0.294856807674528,-0.300537868654513,-0.300156483759224,0.06,0.14
"162",-0.373250381322033,-0.292698510417472,-0.29847345820226,-0.298032113701878,0.06,0.16
"163",-0.370179839896097,-0.29042360500061,-0.296306076559021,-0.295815644814772,0.06,0.18
"164",-0.366206594173863,-0.288346974538924,-0.294031030821634,-0.293603190568206,0.06,0.2
"165",-0.362583347310404,-0.286016308049674,-0.291642980964046,-0.29126994890961,0.06,0.22
"166",-0.358226907009877,-0.283429488741465,-0.289154749022026,-0.288810895416667,0.06,0.24
"167",-0.354623646417159,-0.28102746216066,-0.286623480777541,-0.286220212787497,0.06,0.26
"168",-0.349236933184095,-0.278406960037679,-0.283956802381325,-0.28356472394984,0.06,0.28
"169",-0.345857151946624,-0.275489853678303,-0.281147735765006,-0.280810690555163,0.06,0.3
"170",-0.340786661287717,-0.272764985744346,-0.278204045299478,-0.277898820194703,0.06,0.32
"171",-0.335687655069041,-0.269712102640687,-0.275184573945239,-0.274821210385651,0.06,0.34
"172",-0.331239762912857,-0.266553554516301,-0.271993106550288,-0.271670253665488,0.06,0.36
"173",-0.32592343635359,-0.263284686625178,-0.268619898327673,-0.268346444124424,0.06,0.38
